Designation,Department,Degree,Year,Type,Department,Degree,Year,True_Perm,Pred_Perm
stu,IT,btech,1,asgn,IT,btech,1,1,0
stu,eni,btech,1,asgn,eni,btech,1,1,0
stu,pha,btech,1,asgn,pha,btech,1,1,0
stu,chem,btech,1,asgn,chem,btech,1,1,0
stu,IT,btech,2,asgn,IT,btech,2,1,0
stu,eni,btech,2,asgn,eni,btech,2,1,0
stu,pha,btech,2,asgn,pha,btech,2,1,0
stu,chem,btech,2,asgn,chem,btech,2,1,0
stu,IT,btech,3,asgn,IT,btech,3,1,0
stu,eni,btech,3,asgn,eni,btech,3,1,0
stu,pha,btech,3,asgn,pha,btech,3,1,0
stu,chem,btech,3,asgn,chem,btech,3,1,0
stu,IT,btech,4,asgn,IT,btech,4,1,0
stu,eni,btech,4,asgn,eni,btech,4,1,0
stu,pha,btech,4,asgn,pha,btech,4,1,0
stu,chem,btech,4,asgn,chem,btech,4,1,0
stu,IT,mtech,1,asgn,IT,mtech,1,1,0
stu,eni,mtech,1,asgn,eni,mtech,1,1,0
stu,pha,mtech,1,asgn,pha,mtech,1,1,0
stu,chem,mtech,1,asgn,chem,mtech,1,1,0
stu,IT,mtech,2,asgn,IT,mtech,2,1,0
stu,eni,mtech,2,asgn,eni,mtech,2,1,0
stu,pha,mtech,2,asgn,pha,mtech,2,1,0
stu,chem,mtech,2,asgn,chem,mtech,2,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,1,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,1,1,0
vis_prof,me,NA,NA,q_pr,me,btech,1,1,0
vis_prof,ece,NA,NA,q_pr,ece,btech,1,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,2,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,2,1,0
vis_prof,me,NA,NA,q_pr,me,btech,2,1,0
vis_prof,ece,NA,NA,q_pr,ece,btech,2,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,3,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,3,1,0
vis_prof,me,NA,NA,q_pr,me,btech,3,1,0
vis_prof,ece,NA,NA,q_pr,ece,btech,3,1,0
vis_prof,cse,NA,NA,q_pr,cse,btech,4,1,0
vis_prof,ce,NA,NA,q_pr,ce,btech,4,1,0
vis_prof,me,NA,NA,q_pr,me,btech,4,1,0
vis_prof,ece,NA,NA,q_pr,ece,btech,4,1,0
vis_prof,cse,NA,NA,q_pr,cse,mtech,1,1,0
vis_prof,ce,NA,NA,q_pr,ce,mtech,1,1,0
vis_prof,me,NA,NA,q_pr,me,mtech,1,1,0
vis_prof,ece,NA,NA,q_pr,ece,mtech,1,1,0
vis_prof,cse,NA,NA,q_pr,cse,mtech,2,1,0
vis_prof,ce,NA,NA,q_pr,ce,mtech,2,1,0
vis_prof,me,NA,NA,q_pr,me,mtech,2,1,0
vis_prof,ece,NA,NA,q_pr,ece,mtech,2,1,0
vis_prof,cse,NA,NA,asgn,cse,btech,1,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,1,1,0
vis_prof,me,NA,NA,asgn,me,btech,1,1,0
vis_prof,ece,NA,NA,asgn,ece,btech,1,1,0
vis_prof,cse,NA,NA,asgn,cse,btech,2,1,0
vis_prof,ce,NA,NA,asgn,ce,btech,2,1,0
vis_prof,me,NA,NA,asgn,me,btech,2,1,0
